,start_station_name,end_station_name,value
0,11 St & Washington St,11 St & Washington St,1132
1,11 St & Washington St,12 Ave & W 40 St,1
2,11 St & Washington St,12 St & Sinatra Dr N,253
3,11 St & Washington St,14 St Ferry - 14 St & Shipyard Ln,395
4,11 St & Washington St,4 St & Grand St,350
5,11 St & Washington St,6 St & Grand St,314
6,11 St & Washington St,7 St & Monroe St,242
7,11 St & Washington St,8 St & Washington St,425
8,11 St & Washington St,9 St HBLR - Jackson St & 8 St,489
9,11 St & Washington St,Adams St & 11 St,315
10,11 St & Washington St,Adams St & 2 St,384
11,11 St & Washington St,Astor Place,1
12,11 St & Washington St,Baldwin at Montgomery,8
13,11 St & Washington St,Bergen Ave & Sip Ave,8
14,11 St & Washington St,Bergen Ave & Stegman St,1
15,11 St & Washington St,Bloomfield St & 15 St,221
16,11 St & Washington St,Broadway & W 51 St,1
17,11 St & Washington St,Broadway\t& W 48 St,3
18,11 St & Washington St,Brunswick & 6th,32
19,11 St & Washington St,Brunswick St,8
20,11 St & Washington St,Christ Hospital,14
21,11 St & Washington St,Church Sq Park - 5 St & Park Ave,553
22,11 St & Washington St,City Hall,19
23,11 St & Washington St,City Hall - Washington St & 1 St,1399
24,11 St & Washington St,Clinton St & 7 St,275
25,11 St & Washington St,Clinton St & Newark St,531
26,11 St & Washington St,Columbus Dr at Exchange Pl,39
27,11 St & Washington St,Columbus Drive,25
28,11 St & Washington St,Columbus Park - Clinton St & 9 St,246
29,11 St & Washington St,Communipaw & Berry Lane,3
30,11 St & Washington St,Dixon Mills,9
31,11 St & Washington St,E 30 St & Park Ave S,1
32,11 St & Washington St,E 47 St & Park Ave,4
33,11 St & Washington St,E 48 St & 5 Ave,1
34,11 St & Washington St,E 50 St & Park Ave,2
35,11 St & Washington St,E 51 St & 2 Ave,1
36,11 St & Washington St,Essex Light Rail,7
37,11 St & Washington St,Fairmount Ave,2
38,11 St & Washington St,Fulton St & William St,1
39,11 St & Washington St,Glenwood Ave,1
40,11 St & Washington St,Grand St,31
41,11 St & Washington St,Grand St & 14 St,214
42,11 St & Washington St,Grove St PATH,25
43,11 St & Washington St,Hamilton Park,50
44,11 St & Washington St,Harborside,59
45,11 St & Washington St,Heights Elevator,45
46,11 St & Washington St,Hilltop,14
47,11 St & Washington St,Hoboken Ave at Monmouth St,175
48,11 St & Washington St,Hoboken Terminal - Hudson St & Hudson Pl,1213
49,11 St & Washington St,Hoboken Terminal - River St & Hudson Pl,1247
50,11 St & Washington St,Hudson St & 4 St,668
51,11 St & Washington St,JC Medical Center,17
52,11 St & Washington St,Jersey & 3rd,21
53,11 St & Washington St,Jersey & 6th St,22
54,11 St & Washington St,Journal Square,4
55,11 St & Washington St,Lafayette Park,9
56,11 St & Washington St,Leonard Gordon Park,17
57,11 St & Washington St,Lexington Ave & E 24 St,1
58,11 St & Washington St,Liberty Light Rail,16
59,11 St & Washington St,Lincoln Park,5
60,11 St & Washington St,Madison St & 1 St,271
61,11 St & Washington St,Madison St & 10 St,488
62,11 St & Washington St,Mama Johnson Field - 4 St & Jackson St,209
63,11 St & Washington St,Manila & 1st,21
64,11 St & Washington St,Marin Light Rail,35
65,11 St & Washington St,Marshall St & 2 St,270
66,11 St & Washington St,McGinley Square,1
67,11 St & Washington St,Monmouth and 6th,17
68,11 St & Washington St,Montgomery St,31
69,11 St & Washington St,Morris Canal,8
70,11 St & Washington St,Murray St & Greenwich St,1
71,11 St & Washington St,N Moore St & Hudson St,1
72,11 St & Washington St,Newark Ave,26
73,11 St & Washington St,Newport PATH,97
74,11 St & Washington St,Newport Pkwy,141
75,11 St & Washington St,North Moore St & Greenwich St,1
76,11 St & Washington St,Oakland Ave,20
77,11 St & Washington St,Paulus Hook,8
78,11 St & Washington St,Pershing Field,12
79,11 St & Washington St,Riverview Park,40
80,11 St & Washington St,Shop Morgan,1
81,11 St & Washington St,Sip Ave,5
82,11 St & Washington St,South Waterfront Walkway - Sinatra Dr & 1 St,1391
83,11 St & Washington St,Southwest Park - Jackson St & Observer Hwy,150
84,11 St & Washington St,Stevens - River Ter & 6 St,247
85,11 St & Washington St,Union St,1
86,11 St & Washington St,Van Vorst Park,19
87,11 St & Washington St,Vesey Pl & River Terrace,1
88,11 St & Washington St,W 44 St & 5 Ave,1
89,11 St & Washington St,Warren St,78
90,11 St & Washington St,Washington St,83
91,11 St & Washington St,Water St &  Fletcher St,2
92,11 St & Washington St,West St & Chambers St,1
93,11 St & Washington St,Willow Ave & 12 St,212
94,11 St & Washington St,York St & Marin Blvd,1
95,12 St & Sinatra Dr N,11 St & Washington St,389
96,12 St & Sinatra Dr N,12 Ave & W 40 St,1
97,12 St & Sinatra Dr N,12 St & Sinatra Dr N,2952
98,12 St & Sinatra Dr N,14 St Ferry - 14 St & Shipyard Ln,481
99,12 St & Sinatra Dr N,4 St & Grand St,259
100,12 St & Sinatra Dr N,5 Ave & E 29 St,1
101,12 St & Sinatra Dr N,5 Corners Library,3
102,12 St & Sinatra Dr N,6 St & Grand St,166
103,12 St & Sinatra Dr N,7 St & Monroe St,170
104,12 St & Sinatra Dr N,8 St & Washington St,503
105,12 St & Sinatra Dr N,9 St HBLR - Jackson St & 8 St,307
106,12 St & Sinatra Dr N,Adams St & 11 St,145
107,12 St & Sinatra Dr N,Adams St & 2 St,232
108,12 St & Sinatra Dr N,Baldwin at Montgomery,7
109,12 St & Sinatra Dr N,Bergen Ave,1
110,12 St & Sinatra Dr N,Bloomfield St & 15 St,245
111,12 St & Sinatra Dr N,Broadway & Battery Pl,2
112,12 St & Sinatra Dr N,Broadway\t& W 48 St,1
113,12 St & Sinatra Dr N,Brunswick & 6th,10
114,12 St & Sinatra Dr N,Brunswick St,13
115,12 St & Sinatra Dr N,Bus Slip & State St,2
116,12 St & Sinatra Dr N,Carmine St & 6 Ave,1
117,12 St & Sinatra Dr N,Christ Hospital,5
118,12 St & Sinatra Dr N,Christopher St & Greenwich St,3
119,12 St & Sinatra Dr N,Church Sq Park - 5 St & Park Ave,297
120,12 St & Sinatra Dr N,City Hall,13
121,12 St & Sinatra Dr N,City Hall - Washington St & 1 St,543
122,12 St & Sinatra Dr N,Clinton St & 7 St,194
123,12 St & Sinatra Dr N,Clinton St & Newark St,238
124,12 St & Sinatra Dr N,Columbus Dr at Exchange Pl,66
125,12 St & Sinatra Dr N,Columbus Drive,58
126,12 St & Sinatra Dr N,Columbus Park - Clinton St & 9 St,190
127,12 St & Sinatra Dr N,Communipaw & Berry Lane,2
128,12 St & Sinatra Dr N,Dixon Mills,4
129,12 St & Sinatra Dr N,E 31 St & 3 Ave,1
130,12 St & Sinatra Dr N,E 47 St & Park Ave,2
131,12 St & Sinatra Dr N,E 51 St & 2 Ave,1
132,12 St & Sinatra Dr N,Essex Light Rail,22
133,12 St & Sinatra Dr N,Fairmount Ave,2
134,12 St & Sinatra Dr N,Franklin St & W Broadway,2
135,12 St & Sinatra Dr N,Glenwood Ave,6
136,12 St & Sinatra Dr N,Grand Army Plaza & Central Park S,1
137,12 St & Sinatra Dr N,Grand St,64
138,12 St & Sinatra Dr N,Grand St & 14 St,185
139,12 St & Sinatra Dr N,Greene St & Prince St,3
140,12 St & Sinatra Dr N,Greenwich St & Hubert St,5
141,12 St & Sinatra Dr N,Greenwich St & W Houston St,1
142,12 St & Sinatra Dr N,Grove St PATH,35
143,12 St & Sinatra Dr N,Hamilton Park,52
144,12 St & Sinatra Dr N,Harborside,103
145,12 St & Sinatra Dr N,Heights Elevator,29
146,12 St & Sinatra Dr N,Hilltop,47
147,12 St & Sinatra Dr N,Hoboken Ave at Monmouth St,149
148,12 St & Sinatra Dr N,Hoboken Terminal - Hudson St & Hudson Pl,508
149,12 St & Sinatra Dr N,Hoboken Terminal - River St & Hudson Pl,1298
150,12 St & Sinatra Dr N,Hudson St & 4 St,980
151,12 St & Sinatra Dr N,JC Medical Center,8
152,12 St & Sinatra Dr N,Jersey & 3rd,15
153,12 St & Sinatra Dr N,Jersey & 6th St,10
154,12 St & Sinatra Dr N,Journal Square,1
155,12 St & Sinatra Dr N,Lafayette Park,8
156,12 St & Sinatra Dr N,Laight St & Hudson St,1
157,12 St & Sinatra Dr N,Leonard Gordon Park,18
158,12 St & Sinatra Dr N,Liberty Light Rail,5
159,12 St & Sinatra Dr N,Lincoln Park,2
160,12 St & Sinatra Dr N,Madison St & 1 St,201
161,12 St & Sinatra Dr N,Madison St & 10 St,200
162,12 St & Sinatra Dr N,Mama Johnson Field - 4 St & Jackson St,46
163,12 St & Sinatra Dr N,Manila & 1st,21
164,12 St & Sinatra Dr N,Marin Light Rail,39
165,12 St & Sinatra Dr N,Marshall St & 2 St,139
166,12 St & Sinatra Dr N,McGinley Square,3
167,12 St & Sinatra Dr N,Monmouth and 6th,13
168,12 St & Sinatra Dr N,Montgomery St,2
169,12 St & Sinatra Dr N,Morris Canal,26
170,12 St & Sinatra Dr N,Newark Ave,23
171,12 St & Sinatra Dr N,Newport PATH,143
172,12 St & Sinatra Dr N,Newport Pkwy,287
173,12 St & Sinatra Dr N,North Moore St & Greenwich St,9
174,12 St & Sinatra Dr N,Oakland Ave,2
175,12 St & Sinatra Dr N,Paulus Hook,34
176,12 St & Sinatra Dr N,Pershing Field,16
177,12 St & Sinatra Dr N,Pier 40 - Hudson River Park,1
178,12 St & Sinatra Dr N,Riverview Park,33
179,12 St & Sinatra Dr N,Soissons Landing,1
180,12 St & Sinatra Dr N,South St & Whitehall St,1
181,12 St & Sinatra Dr N,South Waterfront Walkway - Sinatra Dr & 1 St,3964
182,12 St & Sinatra Dr N,Southwest Park - Jackson St & Observer Hwy,148
183,12 St & Sinatra Dr N,Stevens - River Ter & 6 St,180
184,12 St & Sinatra Dr N,Union St,1
185,12 St & Sinatra Dr N,Van Vorst Park,18
186,12 St & Sinatra Dr N,Vesey Pl & River Terrace,3
187,12 St & Sinatra Dr N,W 35 St & 8 Ave,1
188,12 St & Sinatra Dr N,W 44 St & 5 Ave,2
189,12 St & Sinatra Dr N,W Broadway & Spring St,1
190,12 St & Sinatra Dr N,W Broadway & W Houston St,11
191,12 St & Sinatra Dr N,Warren St,172
192,12 St & Sinatra Dr N,Washington St,108
193,12 St & Sinatra Dr N,Washington St & Laight St,3
194,12 St & Sinatra Dr N,West End Ave & W 107 St,1
195,12 St & Sinatra Dr N,West St & Chambers St,2
196,12 St & Sinatra Dr N,Willow Ave & 12 St,136
197,12 St & Sinatra Dr N,York St & Marin Blvd,1
198,14 St Ferry - 14 St & Shipyard Ln,11 St & Washington St,494
199,14 St Ferry - 14 St & Shipyard Ln,12 Ave & W 40 St,4
200,14 St Ferry - 14 St & Shipyard Ln,12 St & Sinatra Dr N,644
201,14 St Ferry - 14 St & Shipyard Ln,14 St Ferry - 14 St & Shipyard Ln,2345
202,14 St Ferry - 14 St & Shipyard Ln,2 Ave & E 72 St,1
203,14 St Ferry - 14 St & Shipyard Ln,4 St & Grand St,241
204,14 St Ferry - 14 St & Shipyard Ln,6 St & Grand St,195
205,14 St Ferry - 14 St & Shipyard Ln,7 St & Monroe St,197
206,14 St Ferry - 14 St & Shipyard Ln,8 Ave & W 49 St,1
207,14 St Ferry - 14 St & Shipyard Ln,8 St & Washington St,610
208,14 St Ferry - 14 St & Shipyard Ln,9 Ave & W 18 St,2
209,14 St Ferry - 14 St & Shipyard Ln,9 St HBLR - Jackson St & 8 St,377
210,14 St Ferry - 14 St & Shipyard Ln,Adams St & 11 St,294
211,14 St Ferry - 14 St & Shipyard Ln,Adams St & 2 St,192
212,14 St Ferry - 14 St & Shipyard Ln,Astor Place,1
213,14 St Ferry - 14 St & Shipyard Ln,Baldwin at Montgomery,9
214,14 St Ferry - 14 St & Shipyard Ln,Bank St & Washington St,1
215,14 St Ferry - 14 St & Shipyard Ln,Bergen Ave & Sip Ave,1
216,14 St Ferry - 14 St & Shipyard Ln,Bergen Ave & Stegman St,1
217,14 St Ferry - 14 St & Shipyard Ln,Bloomfield St & 15 St,287
218,14 St Ferry - 14 St & Shipyard Ln,Broadway & Battery Pl,1
219,14 St Ferry - 14 St & Shipyard Ln,Broadway & W 29 St,1
220,14 St Ferry - 14 St & Shipyard Ln,Brunswick & 6th,18
221,14 St Ferry - 14 St & Shipyard Ln,Brunswick St,10
222,14 St Ferry - 14 St & Shipyard Ln,Bus Slip & State St,1
223,14 St Ferry - 14 St & Shipyard Ln,Cabrini Blvd & W 177 St,4
224,14 St Ferry - 14 St & Shipyard Ln,Central Park North & Adam Clayton Powell Blvd,2
225,14 St Ferry - 14 St & Shipyard Ln,Christ Hospital,8
226,14 St Ferry - 14 St & Shipyard Ln,Church Sq Park - 5 St & Park Ave,340
227,14 St Ferry - 14 St & Shipyard Ln,City Hall,8
228,14 St Ferry - 14 St & Shipyard Ln,City Hall - Washington St & 1 St,621
229,14 St Ferry - 14 St & Shipyard Ln,Clinton St & 7 St,266
230,14 St Ferry - 14 St & Shipyard Ln,Clinton St & Newark St,305
231,14 St Ferry - 14 St & Shipyard Ln,Columbus Ave & W 95 St,1
232,14 St Ferry - 14 St & Shipyard Ln,Columbus Dr at Exchange Pl,43
233,14 St Ferry - 14 St & Shipyard Ln,Columbus Drive,48
234,14 St Ferry - 14 St & Shipyard Ln,Columbus Park - Clinton St & 9 St,330
235,14 St Ferry - 14 St & Shipyard Ln,Communipaw & Berry Lane,2
236,14 St Ferry - 14 St & Shipyard Ln,Dey St,5
237,14 St Ferry - 14 St & Shipyard Ln,Dixon Mills,4
238,14 St Ferry - 14 St & Shipyard Ln,E 47 St & Park Ave,2
239,14 St Ferry - 14 St & Shipyard Ln,E 58 St & 3 Ave,1
240,14 St Ferry - 14 St & Shipyard Ln,E 59 St & Madison Ave,1
241,14 St Ferry - 14 St & Shipyard Ln,Essex Light Rail,20
242,14 St Ferry - 14 St & Shipyard Ln,Fairmount Ave,1
243,14 St Ferry - 14 St & Shipyard Ln,Glenwood Ave,4
244,14 St Ferry - 14 St & Shipyard Ln,Grand St,138
245,14 St Ferry - 14 St & Shipyard Ln,Grand St & 14 St,309
246,14 St Ferry - 14 St & Shipyard Ln,Greenwich St & Hubert St,2
247,14 St Ferry - 14 St & Shipyard Ln,Grove St PATH,32
248,14 St Ferry - 14 St & Shipyard Ln,Hamilton Park,81
249,14 St Ferry - 14 St & Shipyard Ln,Harborside,85
250,14 St Ferry - 14 St & Shipyard Ln,Heights Elevator,71
251,14 St Ferry - 14 St & Shipyard Ln,Hilltop,19
252,14 St Ferry - 14 St & Shipyard Ln,Hoboken Ave at Monmouth St,123
253,14 St Ferry - 14 St & Shipyard Ln,Hoboken Terminal - Hudson St & Hudson Pl,468
254,14 St Ferry - 14 St & Shipyard Ln,Hoboken Terminal - River St & Hudson Pl,1153
255,14 St Ferry - 14 St & Shipyard Ln,Hudson St & 4 St,1075
256,14 St Ferry - 14 St & Shipyard Ln,JC Medical Center,14
257,14 St Ferry - 14 St & Shipyard Ln,Jersey & 3rd,9
258,14 St Ferry - 14 St & Shipyard Ln,Jersey & 6th St,22
259,14 St Ferry - 14 St & Shipyard Ln,Lafayette Park,7
260,14 St Ferry - 14 St & Shipyard Ln,Laight St & Hudson St,1
261,14 St Ferry - 14 St & Shipyard Ln,Leonard Gordon Park,7
262,14 St Ferry - 14 St & Shipyard Ln,Liberty Light Rail,10
263,14 St Ferry - 14 St & Shipyard Ln,Lincoln Park,1
264,14 St Ferry - 14 St & Shipyard Ln,Madison St & 1 St,164
265,14 St Ferry - 14 St & Shipyard Ln,Madison St & 10 St,343
266,14 St Ferry - 14 St & Shipyard Ln,Mama Johnson Field - 4 St & Jackson St,56
267,14 St Ferry - 14 St & Shipyard Ln,Manila & 1st,39
268,14 St Ferry - 14 St & Shipyard Ln,Marin Light Rail,56
269,14 St Ferry - 14 St & Shipyard Ln,Marshall St & 2 St,94
270,14 St Ferry - 14 St & Shipyard Ln,McGinley Square,4
271,14 St Ferry - 14 St & Shipyard Ln,Monmouth and 6th,13
272,14 St Ferry - 14 St & Shipyard Ln,Montgomery St,3
273,14 St Ferry - 14 St & Shipyard Ln,Morris Canal,25
274,14 St Ferry - 14 St & Shipyard Ln,N Moore St & Hudson St,1
275,14 St Ferry - 14 St & Shipyard Ln,Newark Ave,32
276,14 St Ferry - 14 St & Shipyard Ln,Newport PATH,146
277,14 St Ferry - 14 St & Shipyard Ln,Newport Pkwy,388
278,14 St Ferry - 14 St & Shipyard Ln,North Moore St & Greenwich St,3
279,14 St Ferry - 14 St & Shipyard Ln,Oakland Ave,19
280,14 St Ferry - 14 St & Shipyard Ln,Paulus Hook,37
281,14 St Ferry - 14 St & Shipyard Ln,Pershing Field,25
282,14 St Ferry - 14 St & Shipyard Ln,Riverview Park,65
283,14 St Ferry - 14 St & Shipyard Ln,Sip Ave,4
284,14 St Ferry - 14 St & Shipyard Ln,Soissons Landing,1
285,14 St Ferry - 14 St & Shipyard Ln,South Waterfront Walkway - Sinatra Dr & 1 St,3026
286,14 St Ferry - 14 St & Shipyard Ln,Southwest Park - Jackson St & Observer Hwy,94
287,14 St Ferry - 14 St & Shipyard Ln,Stevens - River Ter & 6 St,250
288,14 St Ferry - 14 St & Shipyard Ln,Union St,2
289,14 St Ferry - 14 St & Shipyard Ln,University Pl & E 14 St,1
290,14 St Ferry - 14 St & Shipyard Ln,Van Vorst Park,17
291,14 St Ferry - 14 St & Shipyard Ln,Vernon Blvd & 47 Rd,1
292,14 St Ferry - 14 St & Shipyard Ln,Vesey Pl & River Terrace,1
293,14 St Ferry - 14 St & Shipyard Ln,W 116 St & Amsterdam Ave,2
294,14 St Ferry - 14 St & Shipyard Ln,W 16 St & The High Line,1
295,14 St Ferry - 14 St & Shipyard Ln,W 181 St & Riverside Dr,1
296,14 St Ferry - 14 St & Shipyard Ln,W 34 St & 11 Ave,4
297,14 St Ferry - 14 St & Shipyard Ln,W 34 St &\tHudson Blvd E,1
298,14 St Ferry - 14 St & Shipyard Ln,W 52 St & 6 Ave,1
299,14 St Ferry - 14 St & Shipyard Ln,W 59 St & 10 Ave,1
300,14 St Ferry - 14 St & Shipyard Ln,W Broadway & Spring St,1
301,14 St Ferry - 14 St & Shipyard Ln,W Broadway & W Houston St,7
302,14 St Ferry - 14 St & Shipyard Ln,Warren St,108
303,14 St Ferry - 14 St & Shipyard Ln,Washington St,131
304,14 St Ferry - 14 St & Shipyard Ln,Washington St & Laight St,3
305,14 St Ferry - 14 St & Shipyard Ln,Willow Ave & 12 St,250
306,14 St Ferry - 14 St & Shipyard Ln,York St & Marin Blvd,2
307,4 St & Grand St,11 St & Washington St,298
308,4 St & Grand St,12 St & Sinatra Dr N,201
309,4 St & Grand St,14 St Ferry - 14 St & Shipyard Ln,260
310,4 St & Grand St,4 St & Grand St,617
311,4 St & Grand St,5 Corners Library,4
312,4 St & Grand St,6 St & Grand St,159
313,4 St & Grand St,7 St & Monroe St,110
314,4 St & Grand St,8 St & Washington St,162
315,4 St & Grand St,9 St HBLR - Jackson St & 8 St,102
316,4 St & Grand St,Adams St & 11 St,79
317,4 St & Grand St,Adams St & 2 St,121
318,4 St & Grand St,Astor Place,1
319,4 St & Grand St,Baldwin at Montgomery,11
320,4 St & Grand St,Bergen Ave,2
321,4 St & Grand St,Bergen Ave & Sip Ave,6
322,4 St & Grand St,Bloomfield St & 15 St,153
323,4 St & Grand St,Brunswick & 6th,6
324,4 St & Grand St,Brunswick St,16
325,4 St & Grand St,Cabrini Blvd & W 177 St,1
326,4 St & Grand St,Christ Hospital,18
327,4 St & Grand St,Church Sq Park - 5 St & Park Ave,183
328,4 St & Grand St,City Hall,12
329,4 St & Grand St,City Hall - Washington St & 1 St,780
330,4 St & Grand St,Clinton St & 7 St,227
331,4 St & Grand St,Clinton St & Newark St,265
332,4 St & Grand St,Columbus Dr at Exchange Pl,17
333,4 St & Grand St,Columbus Drive,27
334,4 St & Grand St,Columbus Park - Clinton St & 9 St,338
335,4 St & Grand St,Communipaw & Berry Lane,3
336,4 St & Grand St,Dey St,11
337,4 St & Grand St,Dixon Mills,9
338,4 St & Grand St,Essex Light Rail,6
339,4 St & Grand St,Fairmount Ave,1
340,4 St & Grand St,Grand St,14
341,4 St & Grand St,Grand St & 14 St,384
342,4 St & Grand St,Grove St PATH,43
343,4 St & Grand St,Hamilton Park,40
344,4 St & Grand St,Harborside,20
345,4 St & Grand St,Heights Elevator,24
346,4 St & Grand St,Hilltop,8
347,4 St & Grand St,Hoboken Ave at Monmouth St,125
348,4 St & Grand St,Hoboken Terminal - Hudson St & Hudson Pl,1101
349,4 St & Grand St,Hoboken Terminal - River St & Hudson Pl,1488
350,4 St & Grand St,Hudson St & 4 St,254
351,4 St & Grand St,JC Medical Center,10
352,4 St & Grand St,Jersey & 3rd,14
353,4 St & Grand St,Jersey & 6th St,10
354,4 St & Grand St,Journal Square,3
355,4 St & Grand St,Lafayette Park,3
356,4 St & Grand St,Leonard Gordon Park,20
357,4 St & Grand St,Liberty Light Rail,8
358,4 St & Grand St,Lincoln Park,1
359,4 St & Grand St,Madison St & 1 St,97
360,4 St & Grand St,Madison St & 10 St,242
361,4 St & Grand St,Mama Johnson Field - 4 St & Jackson St,94
362,4 St & Grand St,Manila & 1st,19
363,4 St & Grand St,Marin Light Rail,21
364,4 St & Grand St,Marshall St & 2 St,154
365,4 St & Grand St,Monmouth and 6th,14
366,4 St & Grand St,Montgomery St,5
367,4 St & Grand St,Morris Canal,12
368,4 St & Grand St,Newark Ave,10
369,4 St & Grand St,Newport PATH,60
370,4 St & Grand St,Newport Pkwy,83
371,4 St & Grand St,Oakland Ave,24
372,4 St & Grand St,Paulus Hook,4
373,4 St & Grand St,Pershing Field,19
374,4 St & Grand St,Riverview Park,30
375,4 St & Grand St,Sip Ave,3
376,4 St & Grand St,South Waterfront Walkway - Sinatra Dr & 1 St,816
377,4 St & Grand St,Southwest Park - Jackson St & Observer Hwy,214
378,4 St & Grand St,Stevens - River Ter & 6 St,149
379,4 St & Grand St,Union St,8
380,4 St & Grand St,Van Vorst Park,9
381,4 St & Grand St,Warren St,39
382,4 St & Grand St,Washington St,139
383,4 St & Grand St,Willow Ave & 12 St,295
384,5 Corners Library,11 St & Washington St,6
385,5 Corners Library,12 St & Sinatra Dr N,6
386,5 Corners Library,14 St Ferry - 14 St & Shipyard Ln,3
387,5 Corners Library,4 St & Grand St,8
388,5 Corners Library,5 Corners Library,262
389,5 Corners Library,6 St & Grand St,5
390,5 Corners Library,7 St & Monroe St,6
391,5 Corners Library,8 St & Washington St,1
392,5 Corners Library,9 St HBLR - Jackson St & 8 St,4
393,5 Corners Library,Adams St & 11 St,2
394,5 Corners Library,Adams St & 2 St,5
395,5 Corners Library,Astor Place,18
396,5 Corners Library,Baldwin at Montgomery,52
397,5 Corners Library,Bergen Ave,49
398,5 Corners Library,Bergen Ave & Sip Ave,70
399,5 Corners Library,Bergen Ave & Stegman St,14
400,5 Corners Library,Bloomfield St & 15 St,5
401,5 Corners Library,Brunswick & 6th,34
402,5 Corners Library,Brunswick St,78
403,5 Corners Library,Christ Hospital,123
404,5 Corners Library,Church Sq Park - 5 St & Park Ave,9
405,5 Corners Library,City Hall,17
406,5 Corners Library,City Hall - Washington St & 1 St,33
407,5 Corners Library,Clinton St & 7 St,3
408,5 Corners Library,Clinton St & Newark St,13
409,5 Corners Library,Columbus Dr at Exchange Pl,29
410,5 Corners Library,Columbus Drive,37
411,5 Corners Library,Columbus Park - Clinton St & 9 St,4
412,5 Corners Library,Communipaw & Berry Lane,10
413,5 Corners Library,Dey St,36
414,5 Corners Library,Dixon Mills,2
415,5 Corners Library,Essex Light Rail,2
416,5 Corners Library,Fairmount Ave,28
417,5 Corners Library,Glenwood Ave,13
418,5 Corners Library,Grand St,8
419,5 Corners Library,Grand St & 14 St,6
420,5 Corners Library,Grant Ave & MLK Dr,1
421,5 Corners Library,Grove St PATH,43
422,5 Corners Library,Hamilton Park,146
423,5 Corners Library,Harborside,27
424,5 Corners Library,Heights Elevator,38
425,5 Corners Library,Hilltop,83
426,5 Corners Library,Hoboken Ave at Monmouth St,37
427,5 Corners Library,Hoboken Terminal - Hudson St & Hudson Pl,9
428,5 Corners Library,Hoboken Terminal - River St & Hudson Pl,22
429,5 Corners Library,Hudson St & 4 St,26
430,5 Corners Library,JC Medical Center,18
431,5 Corners Library,Jackson Square,8
432,5 Corners Library,Jersey & 3rd,100
433,5 Corners Library,Jersey & 6th St,14
434,5 Corners Library,Journal Square,134
435,5 Corners Library,Lafayette Park,2
436,5 Corners Library,Leonard Gordon Park,158
437,5 Corners Library,Liberty Light Rail,19
438,5 Corners Library,Lincoln Park,51
439,5 Corners Library,Madison St & 1 St,8
440,5 Corners Library,Madison St & 10 St,4
441,5 Corners Library,Mama Johnson Field - 4 St & Jackson St,6
442,5 Corners Library,Manila & 1st,60
443,5 Corners Library,Marin Light Rail,21
444,5 Corners Library,Marshall St & 2 St,5
445,5 Corners Library,McGinley Square,42
446,5 Corners Library,Monmouth and 6th,22
447,5 Corners Library,Montgomery St,33
448,5 Corners Library,Morris Canal,4
449,5 Corners Library,Newark Ave,78
450,5 Corners Library,Newport PATH,36
451,5 Corners Library,Newport Pkwy,41
452,5 Corners Library,Oakland Ave,116
453,5 Corners Library,Paulus Hook,12
454,5 Corners Library,Pershing Field,233
455,5 Corners Library,Riverview Park,78
456,5 Corners Library,Sip Ave,99
457,5 Corners Library,South Waterfront Walkway - Sinatra Dr & 1 St,8
458,5 Corners Library,Southwest Park - Jackson St & Observer Hwy,9
459,5 Corners Library,Stevens - River Ter & 6 St,17
460,5 Corners Library,Union St,35
461,5 Corners Library,Van Vorst Park,20
462,5 Corners Library,Warren St,27
463,5 Corners Library,Washington St,70
464,5 Corners Library,Willow Ave & 12 St,6
465,5 Corners Library,York St & Marin Blvd,1
466,6 St & Grand St,11 St & Washington St,258
467,6 St & Grand St,12 St & Sinatra Dr N,182
468,6 St & Grand St,14 St Ferry - 14 St & Shipyard Ln,181
469,6 St & Grand St,4 St & Grand St,203
470,6 St & Grand St,5 Corners Library,2
471,6 St & Grand St,6 St & Grand St,367
472,6 St & Grand St,7 St & Monroe St,102
473,6 St & Grand St,8 St & Washington St,95
474,6 St & Grand St,9 St HBLR - Jackson St & 8 St,140
475,6 St & Grand St,Adams St & 11 St,67
476,6 St & Grand St,Adams St & 2 St,208
477,6 St & Grand St,Baldwin at Montgomery,10
478,6 St & Grand St,Bergen Ave & Sip Ave,3
479,6 St & Grand St,Bloomfield St & 15 St,168
480,6 St & Grand St,Brunswick & 6th,12
481,6 St & Grand St,Brunswick St,5
482,6 St & Grand St,Christ Hospital,23
483,6 St & Grand St,Church Sq Park - 5 St & Park Ave,174
484,6 St & Grand St,City Hall,7
485,6 St & Grand St,City Hall - Washington St & 1 St,616
486,6 St & Grand St,Clinton St & 7 St,182
487,6 St & Grand St,Clinton St & Newark St,191
488,6 St & Grand St,Columbus Dr at Exchange Pl,10
489,6 St & Grand St,Columbus Drive,8
490,6 St & Grand St,Columbus Park - Clinton St & 9 St,189
491,6 St & Grand St,Communipaw & Berry Lane,2
492,6 St & Grand St,Dey St,6
493,6 St & Grand St,Dixon Mills,2
494,6 St & Grand St,Essex Light Rail,4
495,6 St & Grand St,Fairmount Ave,1
496,6 St & Grand St,Grand St,5
497,6 St & Grand St,Grand St & 14 St,309
498,6 St & Grand St,Grove St PATH,12
499,6 St & Grand St,Hamilton Park,30
500,6 St & Grand St,Harborside,40
501,6 St & Grand St,Heights Elevator,37
502,6 St & Grand St,Hilltop,4
503,6 St & Grand St,Hoboken Ave at Monmouth St,181
504,6 St & Grand St,Hoboken Terminal - Hudson St & Hudson Pl,929
505,6 St & Grand St,Hoboken Terminal - River St & Hudson Pl,927
506,6 St & Grand St,Hudson St & 4 St,190
